Team Name,Survey Data,Well-being,Needs,Engagement,Autonomy,Belonging,Competence,Leadership,Management,Returns,Rewards,Status,Myself,Tasks,Free,Mastery,Competent,Learn,Group,Talk,Care,Satisfied,Meaning,Stay,Ideas,Values,Understands,Encourages,Listens,Network,Friendly,Team,Appreciated,Responsibilities,Work,Impact,Strong,Drained,Frustrated,Volunteer,Staff,Position
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,4.1,4.4,4.4,5.0,4.0,4.0,4.0,4.2,3.5,4.5,4.5,5,5,5,4,4,4,5,3,4,5,4,5,4,4,5,3,4,3,4,1,5,4,5,4,3,1,1,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,3.4,4.2,3.8,5.0,3.0,5.0,3.7,4.0,4.0,3.0,5.0,5,5,5,5,5,3,3,3,3,5,3,5,3,3,5,3,3,5,4,2,5,3,3,5,1,1,2,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,4.3,3.9,4.6,4.0,3.3,4.5,4.7,4.2,4.5,4.0,4.0,3,4,5,4,5,4,5,3,2,5,4,5,5,4,5,4,5,5,3,1,4,4,4,4,6,2,2,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,4.6,4.4,4.0,4.7,4.0,4.5,5.0,4.3,4.0,5.0,4.0,5,4,5,5,4,5,4,3,5,5,3,5,3,4,5,5,5,3,5,2,3,5,5,5,7,2,2,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,4.8,4.4,4.4,4.7,3.7,5.0,3.7,4.3,4.0,4.5,4.5,5,4,5,5,5,4,5,2,4,5,4,5,4,4,5,3,3,4,5,2,5,4,5,4,6,1,1,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,3.4,3.8,4.0,3.3,3.7,4.5,4.0,4.0,3.5,4.0,4.5,3,4,3,5,4,5,4,3,4,5,4,5,3,3,5,3,4,2,4,3,5,4,4,4,5,4,3,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,4.3,4.9,5.0,4.7,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,6,2,2,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,1,1,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,4.3,3.9,4.0,4.3,3.0,4.5,4.0,3.8,3.5,4.0,4.0,4,5,4,5,4,4,3,3,3,5,4,5,3,3,4,4,4,3,3,2,5,4,4,3,5,1,2,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,4.1,4.6,4.6,5.0,4.3,4.5,4.7,4.7,4.5,4.5,5.0,5,5,5,5,4,5,4,4,5,5,5,5,4,4,5,4,5,4,5,3,5,4,5,5,6,4,1,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,4.8,4.5,4.6,4.0,4.7,5.0,5.0,4.5,5.0,3.5,5.0,5,3,4,5,5,5,5,5,4,5,4,4,5,5,5,5,5,5,4,2,5,4,3,5,6,1,1,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,4.3,4.5,4.4,4.3,4.3,5.0,4.7,4.3,4.0,5.0,4.0,4,5,4,5,5,3,5,4,4,5,5,4,4,4,5,4,5,5,4,2,4,5,5,4,5,2,1,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,4.8,5.0,5.0,5.0,5.0,5.0,5.0,4.8,4.5,5.0,5.0,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,7,2,1,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,3.9,3.9,4.0,4.0,3.3,4.5,3.3,4.0,4.5,3.5,4.0,4,5,3,5,4,5,3,3,4,5,3,5,4,3,4,3,3,4,5,2,5,3,4,3,4,2,2,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,4.1,4.5,4.4,4.7,4.3,4.5,4.7,4.7,4.5,4.5,5.0,4,5,5,5,4,4,4,4,5,5,5,4,4,4,5,4,5,5,5,1,5,4,5,5,6,3,2,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,3.4,4.5,4.8,5.0,4.3,4.0,5.0,5.0,5.0,5.0,5.0,5,5,5,5,3,5,5,3,5,5,5,5,4,5,5,5,5,5,5,1,5,5,5,5,6,5,3,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,4.1,4.8,4.4,5.0,4.3,5.0,5.0,4.7,4.5,5.0,4.5,5,5,5,5,5,4,5,3,5,4,5,5,4,4,5,5,5,5,5,1,5,5,5,4,5,2,2,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,3.7,4.2,4.0,4.3,3.7,5.0,3.7,3.8,3.5,4.0,4.0,5,4,4,5,5,4,4,3,4,5,4,4,3,4,4,4,3,3,4,3,4,4,4,4,5,4,2,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,4.3,4.1,4.4,4.0,3.7,5.0,4.0,4.5,4.0,5.0,4.5,5,4,3,5,5,4,4,3,4,5,5,4,4,4,4,4,4,4,5,3,4,5,5,5,7,4,1,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,5.0,3.6,3.6,4.0,2.3,5.0,4.0,3.3,3.0,3.5,3.5,3,4,5,5,5,3,2,2,3,4,3,5,3,3,5,3,4,3,4,2,3,3,4,4,7,1,1,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,4.6,3.8,3.4,4.0,3.0,4.5,3.3,3.8,3.5,4.0,4.0,4,4,4,5,4,4,3,4,2,4,3,5,2,3,4,3,3,3,5,3,5,4,4,3,5,1,1,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,4.8,4.0,3.8,4.7,2.7,5.0,3.7,4.2,4.5,3.0,5.0,5,5,4,5,5,4,2,3,3,5,3,5,3,3,5,3,3,5,5,3,5,3,3,5,6,1,1,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,4.1,4.1,4.0,4.3,4.0,4.0,3.7,4.2,4.0,4.0,4.5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,5,4,4,4,6,3,2,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,4.6,4.5,4.6,4.7,4.0,5.0,4.0,4.3,4.5,4.5,4.0,4,5,5,5,5,4,5,3,4,5,5,5,4,4,5,3,4,5,5,3,4,4,5,4,6,2,1,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,4.3,4.2,3.8,4.3,4.0,4.5,4.0,3.8,3.5,4.0,4.0,4,5,4,5,4,3,4,4,4,5,3,5,2,4,5,4,3,4,4,1,5,4,4,3,5,2,1,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,4.8,4.9,4.8,5.0,4.7,5.0,4.3,5.0,5.0,5.0,5.0,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,4,4,5,5,2,5,5,5,5,7,2,1,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,4.6,3.5,3.6,4.3,2.3,4.0,3.3,3.2,3.0,3.0,3.5,4,5,4,4,4,4,3,3,1,4,4,4,3,3,4,3,3,2,4,1,4,3,3,3,5,1,1,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,4.8,4.4,4.8,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,5,5,5,5,5,5,5,4,5,5,5,4,4,1,4,4,4,4,6,1,1,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,4.1,3.6,3.8,4.0,3.0,4.0,3.7,3.8,4.0,3.5,4.0,4,4,4,4,4,4,3,3,3,5,4,4,3,3,4,4,3,4,5,3,4,3,4,4,3,1,1,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,5.0,4.5,4.4,5.0,3.7,5.0,4.3,4.0,2.0,5.0,5.0,5,5,5,5,5,3,3,3,5,5,5,5,3,4,5,5,3,1,5,1,5,5,5,5,7,1,1,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,4.3,4.2,3.8,4.0,4.0,5.0,4.3,4.0,3.0,5.0,4.0,4,4,4,5,5,4,5,3,4,4,4,4,3,4,5,5,3,2,5,2,4,5,5,4,6,3,1,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,3.9,3.0,3.2,3.3,1.7,4.5,2.7,4.3,4.0,4.5,4.5,4,4,2,5,4,4,2,2,1,3,3,5,2,3,2,3,3,4,4,4,5,5,4,4,4,2,2,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,3.2,4.1,4.2,5.0,2.7,5.0,4.0,4.0,4.5,4.0,3.5,5,5,5,5,5,4,3,2,3,5,4,5,4,3,4,4,4,5,4,2,3,4,4,4,1,1,3,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,4.1,4.9,4.6,5.0,4.7,5.0,4.7,4.3,4.0,4.5,4.5,5,5,5,5,5,4,5,4,5,5,5,5,4,4,5,5,4,4,5,3,4,4,5,5,6,3,2,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,4.3,4.5,4.4,4.7,4.0,5.0,4.0,4.2,3.5,5.0,4.0,5,5,4,5,5,4,5,3,4,5,4,5,4,4,5,3,4,3,5,1,4,5,5,4,6,3,1,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,4.1,3.9,4.2,3.7,3.3,5.0,3.7,4.5,4.0,4.5,5.0,4,4,3,5,5,4,4,2,4,4,5,5,4,3,2,4,5,4,5,2,5,5,4,5,7,2,4,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,4.3,3.8,3.2,4.3,2.7,4.5,3.0,3.7,3.0,4.0,4.0,4,5,4,5,4,4,3,2,3,5,2,5,1,3,4,3,2,2,4,3,5,4,4,3,5,2,1,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,4.6,4.2,4.0,5.0,3.7,4.0,3.3,4.0,3.5,4.0,4.5,5,5,5,3,5,3,5,4,2,5,3,5,3,4,4,3,3,4,5,3,5,5,3,4,7,3,1,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,4.6,4.5,4.0,5.0,4.0,4.5,5.0,4.2,3.5,5.0,4.0,5,5,5,5,4,3,4,3,5,5,4,5,3,3,5,5,5,4,5,1,4,5,5,4,5,1,1,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,5.0,4.9,4.6,5.0,4.7,5.0,5.0,4.5,4.5,5.0,4.0,5,5,5,5,5,5,5,4,5,5,5,5,3,5,5,5,5,4,5,1,5,5,5,3,7,1,1,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,3.7,4.5,4.8,4.7,4.0,5.0,4.7,4.8,4.5,5.0,5.0,5,4,5,5,5,4,4,4,4,5,5,5,5,4,5,4,5,5,4,2,5,5,5,5,6,4,3,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,4.8,4.8,4.0,4.7,4.7,5.0,5.0,4.7,4.5,4.5,5.0,4,5,5,5,5,4,5,4,5,4,3,5,4,4,5,5,5,5,5,3,5,4,5,5,6,1,1,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,4.6,4.1,4.4,4.7,3.7,4.0,3.7,4.3,4.0,4.5,4.5,5,5,4,4,4,5,5,3,3,5,4,5,4,4,4,3,4,3,4,2,5,4,5,4,6,1,2,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,4.8,3.8,3.8,4.3,2.7,4.5,4.0,2.7,2.0,3.5,2.5,3,5,5,5,4,1,3,4,1,3,5,5,3,3,4,4,4,3,5,3,3,4,3,2,6,1,1,1,0,Volunteer
Rotkreuz Fahrdienst Fricktal,2022-09-07 15:03:33.931000,3.2,4.4,4.0,4.3,4.0,5.0,4.0,4.2,3.5,5.0,4.0,4,4,5,5,5,3,4,4,4,4,4,5,3,4,5,3,4,4,5,2,4,5,5,4,5,5,3,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,4.1,4.6,4.6,5.0,4.0,5.0,5.0,4.0,5.0,2.0,5.0,5,5,5,5,5,5,5,5,2,5,3,5,5,5,5,5,5,5,5,5,5,2,2,5,6,3,2,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,3.0,4.1,4.0,3.7,4.3,4.5,3.7,4.2,4.0,3.5,5.0,3,4,4,4,5,5,5,4,4,4,3,5,4,4,4,4,3,3,4,2,5,4,3,5,4,4,4,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,3.0,3.6,4.0,3.0,3.3,5.0,1.3,4.2,4.5,3.0,5.0,1,4,4,5,5,4,3,3,4,5,3,5,4,3,2,1,1,5,3,4,5,3,3,5,4,4,4,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,4.1,4.6,4.4,4.7,4.3,5.0,4.0,4.5,5.0,4.0,4.5,5,4,5,5,5,5,5,4,4,5,4,5,4,4,4,4,4,5,4,3,4,4,4,5,6,3,2,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,2.8,4.4,4.6,4.3,4.7,4.0,4.7,4.7,5.0,4.5,4.5,4,5,4,4,4,5,4,5,5,4,5,5,5,4,4,5,5,5,4,3,4,4,5,5,5,6,4,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,3.9,4.5,4.6,4.7,4.3,4.5,4.7,4.0,4.5,2.5,5.0,4,5,5,4,5,5,5,4,4,5,4,5,5,4,5,4,5,4,4,3,5,2,3,5,6,3,3,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,3.0,4.1,4.0,4.0,4.3,4.0,2.7,3.8,4.5,3.0,4.0,4,4,4,4,4,5,5,4,4,4,4,4,4,4,3,2,3,4,4,4,4,3,3,4,4,4,4,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,4.8,4.5,4.6,5.0,4.0,4.5,3.0,5.0,5.0,5.0,5.0,5,5,5,4,5,5,5,4,3,5,5,5,5,3,3,3,3,5,3,4,5,5,5,5,7,2,1,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,2.8,4.1,4.4,4.3,4.3,3.5,4.3,4.8,4.5,5.0,5.0,4,4,5,4,3,4,5,4,4,4,4,5,5,4,4,4,5,5,4,4,5,5,5,5,5,4,6,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,4.3,4.2,4.4,4.0,4.0,5.0,3.7,4.0,5.0,2.0,5.0,4,4,4,5,5,5,5,4,3,4,4,5,5,4,2,5,4,5,5,5,5,2,2,5,7,4,1,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,4.1,3.1,3.6,2.0,3.7,4.0,2.7,4.2,3.0,5.0,4.5,2,2,2,4,4,2,4,3,4,2,4,5,4,3,4,2,2,4,5,2,5,5,5,4,7,2,4,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,3.4,3.8,3.2,4.0,3.3,4.0,3.0,3.5,3.5,3.0,4.0,5,3,4,5,3,4,4,3,3,3,3,3,4,3,3,3,3,3,3,2,3,3,3,5,6,5,3,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,3.7,4.1,3.6,3.7,4.3,4.5,3.3,3.3,4.0,2.5,3.5,3,4,4,4,5,4,5,5,3,4,4,3,5,2,2,4,4,4,4,2,3,3,2,4,5,4,2,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,4.1,4.8,5.0,4.7,5.0,4.5,4.7,4.8,5.0,4.5,5.0,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,2,5,5,4,5,6,2,3,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,3.0,3.6,4.4,3.0,4.3,3.5,4.3,3.7,5.0,2.0,4.0,2,5,2,3,4,5,5,4,4,4,4,5,5,4,4,4,5,5,5,5,3,2,2,5,4,4,4,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,4.6,4.4,4.0,4.7,4.3,4.0,4.7,4.0,4.0,3.5,4.5,5,4,5,4,4,5,5,4,4,5,4,4,3,4,5,4,5,3,5,5,4,3,4,5,6,2,1,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,4.1,3.8,3.6,3.7,3.7,4.0,2.7,3.7,4.5,3.0,3.5,5,4,2,4,4,5,4,4,3,3,4,3,4,4,3,2,3,4,4,4,3,3,3,4,5,2,2,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,4.1,1.2,1.2,1.0,1.3,1.5,1.7,1.3,1.0,2.0,1.0,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,2,1,1,1,2,1,2,2,1,6,3,2,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,3.2,4.5,4.4,4.0,5.0,4.5,3.3,4.3,5.0,3.0,5.0,5,4,3,4,5,5,5,5,5,5,4,5,4,4,3,3,4,5,4,3,5,3,3,5,5,4,4,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,1.9,2.9,3.8,3.0,2.0,4.0,2.7,3.7,3.5,2.5,5.0,4,2,3,4,4,3,2,3,1,3,4,5,3,4,4,2,2,4,5,3,5,3,2,5,4,6,7,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,3.9,4.5,5.0,4.0,5.0,4.5,4.7,5.0,5.0,5.0,5.0,4,5,3,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,6,4,2,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,4.3,4.6,4.0,4.3,5.0,4.5,5.0,5.0,5.0,5.0,5.0,4,4,5,4,5,5,5,5,5,5,5,1,5,4,5,5,5,5,5,4,5,5,5,5,6,3,1,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,3.4,3.9,4.8,3.7,4.0,4.0,5.0,4.8,5.0,5.0,4.5,1,5,5,4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,5,5,5,6,4,4,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,3.0,4.2,4.2,4.0,4.0,5.0,3.3,3.7,3.5,3.5,4.0,4,4,4,5,5,4,4,4,4,4,4,4,5,4,3,3,4,3,4,4,4,4,3,4,5,5,4,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,4.1,4.2,4.6,4.3,3.7,5.0,4.3,4.5,4.5,4.5,4.5,4,4,5,5,5,5,4,4,3,5,4,5,5,4,5,4,4,4,4,5,4,5,4,5,7,4,2,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,2.8,3.6,3.6,3.7,3.3,4.0,4.0,3.2,4.0,2.5,3.0,3,4,4,4,4,4,4,3,3,4,4,2,4,4,4,4,4,4,4,4,3,2,3,3,4,5,4,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,4.1,5.0,5.0,5.0,5.0,5.0,5.0,4.8,5.0,4.5,5.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,5,7,4,2,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,3.4,4.4,5.0,4.3,4.3,4.5,3.0,4.7,5.0,4.0,5.0,4,4,5,4,5,5,5,5,3,5,5,5,5,5,4,2,3,5,5,2,5,4,4,5,5,4,3,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,3.0,4.2,3.8,4.3,4.3,4.0,5.0,4.0,4.5,3.0,4.5,4,4,5,4,4,5,4,5,4,3,3,4,5,4,5,5,5,4,5,3,4,3,3,5,4,4,4,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,3.7,4.2,4.4,4.3,3.7,5.0,4.7,3.7,4.5,2.5,4.0,5,3,5,5,5,5,5,2,4,5,5,3,5,4,4,5,5,4,4,3,3,2,3,5,6,4,3,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,5.0,4.2,4.0,4.3,3.7,5.0,5.0,4.5,5.0,4.0,4.5,5,4,4,5,5,5,4,2,5,5,4,3,4,4,5,5,5,5,5,5,4,4,4,5,7,1,1,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,3.0,4.4,4.4,4.0,5.0,4.0,3.0,4.5,5.0,3.5,5.0,4,4,4,4,4,5,5,5,5,5,5,4,4,4,3,3,3,5,5,3,5,4,3,5,6,5,5,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,3.2,2.5,4.4,1.3,2.3,4.5,1.7,3.5,4.5,1.5,4.5,1,2,1,5,4,5,5,1,1,4,5,5,4,4,1,2,2,4,4,5,4,2,1,5,5,6,2,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,3.4,3.5,3.8,4.0,2.7,4.0,3.0,3.0,3.5,2.0,3.5,4,3,5,4,4,3,2,3,3,4,3,4,4,4,3,3,3,4,3,3,4,3,1,3,6,5,3,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,4.6,4.6,4.8,4.3,4.7,5.0,4.7,4.7,5.0,4.0,5.0,5,4,4,5,5,5,5,5,4,5,5,5,5,4,5,5,4,5,5,5,5,4,4,5,6,2,1,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,3.0,3.8,4.0,3.7,3.7,4.0,4.0,4.2,5.0,3.0,4.5,4,3,4,4,4,5,4,3,4,4,4,3,5,4,4,4,4,5,4,3,4,3,3,5,6,6,4,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,2.6,4.6,4.4,4.7,4.3,5.0,4.7,4.2,4.5,3.0,5.0,4,5,5,5,5,4,4,5,4,4,5,3,5,5,4,5,5,5,4,4,5,3,3,5,6,6,6,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,3.2,4.4,3.8,4.0,4.7,4.5,3.7,3.5,5.0,2.0,3.5,4,4,4,4,5,5,5,5,4,2,4,5,5,3,3,4,4,5,4,5,3,2,2,4,5,4,4,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,3.9,4.4,4.0,4.3,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,3,5,5,5,3,5,4,5,3,5,5,2,5,5,5,5,1,3,5,5,5,5,5,3,2,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,3.7,4.0,4.6,4.0,4.0,4.0,4.3,3.0,2.0,2.0,5.0,4,4,4,4,4,2,4,4,4,4,5,5,5,4,4,5,4,2,4,4,5,2,2,5,5,3,3,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,3.4,3.9,4.4,4.0,3.3,4.5,4.3,4.0,4.0,3.0,5.0,4,3,5,4,5,5,4,4,2,4,5,5,4,4,4,4,5,3,4,5,5,4,2,5,5,4,3,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,4.1,4.9,5.0,4.7,5.0,5.0,4.7,4.7,4.5,4.5,5.0,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,7,4,2,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,3.7,3.6,4.4,3.3,4.3,3.0,2.3,3.7,4.5,2.0,4.5,4,4,2,3,3,4,4,5,4,4,4,5,5,4,2,3,2,5,4,4,5,2,2,4,5,3,3,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,4.6,4.6,4.2,4.7,4.3,5.0,4.0,4.3,5.0,5.0,3.0,5,4,5,5,5,5,5,3,5,5,5,1,5,5,5,3,4,5,5,5,5,5,5,1,7,3,1,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,3.0,3.6,3.6,3.7,3.0,4.5,2.3,3.0,3.0,2.0,4.0,4,4,3,4,5,4,3,4,2,4,4,2,4,4,2,2,3,2,4,4,4,2,2,4,4,4,4,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,3.4,4.5,4.0,4.7,4.0,5.0,5.0,4.3,5.0,3.0,5.0,5,5,4,5,5,5,4,4,4,5,5,1,5,4,5,5,5,5,4,4,5,3,3,5,6,4,4,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,3.4,4.6,4.2,4.7,4.7,4.5,3.3,4.5,4.5,4.0,5.0,4,5,5,4,5,5,5,5,4,4,4,5,4,4,4,3,3,4,5,5,5,4,4,5,6,2,6,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,3.4,3.9,3.6,3.7,4.3,3.5,3.7,4.2,4.5,3.5,4.5,4,4,3,3,4,5,4,5,4,4,3,3,4,4,3,4,4,4,3,4,4,3,4,5,6,4,4,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,4.6,4.6,5.0,4.3,4.7,5.0,5.0,5.0,5.0,5.0,5.0,4,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,5,6,2,1,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,3.4,4.1,4.6,3.3,4.7,4.5,1.3,3.7,5.0,2.0,4.0,2,4,4,4,5,5,5,5,4,4,5,5,5,4,2,1,1,5,4,4,4,2,2,4,6,4,4,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,3.4,4.2,4.4,4.7,4.0,4.0,4.3,4.2,4.0,4.5,4.0,5,4,5,4,4,4,4,4,4,5,4,5,4,4,5,4,4,4,4,2,4,4,5,4,5,4,3,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,3.7,4.2,4.2,4.3,4.0,4.5,4.0,4.2,4.5,3.5,4.5,4,4,5,4,5,5,4,4,4,4,4,5,5,3,4,3,5,4,4,3,4,4,3,5,6,3,4,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,3.2,4.5,4.2,4.7,4.3,4.5,4.0,4.2,4.5,4.0,4.0,5,4,5,4,5,4,5,4,4,5,4,4,3,5,4,4,4,5,5,4,4,4,4,4,6,5,4,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,4.8,4.8,4.8,5.0,4.7,4.5,3.0,4.5,5.0,3.5,5.0,5,5,5,4,5,5,5,5,4,5,5,5,5,4,3,2,4,5,5,5,5,3,4,5,7,2,1,1,0,Volunteer
VLP 2022,2022-09-18 09:38:46.962000,3.4,4.5,4.2,3.7,5.0,5.0,4.3,3.2,5.0,1.0,3.5,5,1,5,5,5,5,5,5,5,2,4,5,5,5,4,5,4,5,5,2,2,1,1,5,6,4,4,1,0,Volunteer
